"mirname" "p.value"
"hsa-miR-411*" "0,073062227"
"hsa-miR-1290" "0,073662664"
"hsa-miR-1244" "0,074426856"
"hsa-miR-653:9.1" "0,074808952"
"hsa-miR-29b-2*" "0,075027293"
"hsa-miR-1243" "0,075191048"
"HS_166.1" "0,075409389"
"hsa-miR-455-3p" "0,075518559"
"HS_19" "0,075627729"
"hsa-let-7f-1*" "0,07584607"
"hsa-miR-187" "0,076937773"
"hsa-miR-1197" "0,076992358"
"HS_159" "0,077046943"
"hsa-miR-1298" "0,077156114"
"hsa-miR-369-5p" "0,077265284"
"hsa-miR-125b-2*" "0,07753821"
"hsa-miR-188-3p" "0,078029476"
"hsa-miR-214*" "0,078138646"
"hsa-miR-548l" "0,078466157"
"HS_83.1" "0,079121179"
"hsa-miR-382" "0,081632096"
"hsa-miR-1271" "0,082505459"
"hsa-miR-874" "0,082614629"
"hsa-miR-424*" "0,082723799"
"HS_92" "0,082996725"
"hsa-miR-92b" "0,083215066"
"hsa-miR-16" "0,083487991"
"hsa-miR-138-2*" "0,086381004"
"hsa-miR-20a" "0,086517467"
"hsa-miR-431*" "0,087090611"
"HS_279_a" "0,08845524"
"hsa-miR-506" "0,089001092"
"hsa-miR-96*" "0,089219432"
"hsa-miR-886-5p" "0,089874454"
"HS_16" "0,089929039"
"hsa-miR-1208" "0,090201965"
"hsa-miR-567" "0,090365721"
"solexa-9081-91" "0,090529476"
"hsa-miR-31" "0,090584061"
"HS_260" "0,090693231"
"hsa-miR-31*" "0,090856987"
"hsa-miR-1322" "0,091184498"
"hsa-miR-498" "0,091566594"
"hsa-miR-452*" "0,091894105"
"hsa-miR-601" "0,09205786"
"HS_189.1" "0,092276201"
"hsa-miR-298" "0,092494541"
"hsa-miR-1274a" "0,092603712"
"hsa-let-7i*" "0,092712882"
"hsa-miR-10b" "0,093149563"
"HS_33" "0,094677948"
"hsa-miR-519e" "0,094787118"
"HS_110" "0,095332969"
"hsa-miR-328" "0,09566048"
"hsa-miR-374a*" "0,096370087"
"hsa-miR-548g" "0,096970524"
"hsa-miR-622" "0,097898472"
"hsa-miR-196b" "0,099099345"
"hsa-miR-1258" "0,100573144"
"solexa-826-1288" "0,101446507"
"hsa-miR-624" "0,101501092"
"HS_56" "0,102701965"
"hsa-miR-1201" "0,102811135"
"HS_62" "0,103138646"
"HS_202.1" "0,103411572"
"hsa-miR-338-5p" "0,103629913"
"hsa-miR-345" "0,103684498"
"hsa-let-7f-2*" "0,104066594"
"hsa-miR-1270" "0,104721616"
"hsa-miR-346" "0,105103712"
"hsa-miR-590-3p" "0,105758734"
"HS_9" "0,105867904"
"HS_104" "0,106522926"
"HS_196.1" "0,106850437"
"HS_182.1" "0,10805131"
"hsa-miR-326" "0,108105895"
"HS_4.1" "0,108597162"
"hsa-miR-302e" "0,108651747"
"hsa-miR-668" "0,108924672"
"HS_135" "0,109088428"
"HS_117" "0,109252183"
"hsa-miR-1273" "0,109361354"
"hsa-miR-377" "0,110180131"
"hsa-miR-221*" "0,110507642"
"hsa-miR-30c-2*" "0,111108079"
"hsa-miR-335*" "0,112363537"
"hsa-miR-383" "0,112472707"
"hsa-miR-189:9.1" "0,11334607"
"hsa-miR-502-5p" "0,113400655"
"hsa-miR-138-1*" "0,113618996"
"HS_6" "0,113891921"
"hsa-let-7e*" "0,114110262"
"hsa-miR-502-3p,hsa-miR-500*" "0,114328603"
"hsa-miR-595" "0,114819869"
"hsa-miR-548o" "0,11525655"
"hsa-miR-196a" "0,115311135"
"HS_265.1" "0,115474891"
"hsa-miR-581" "0,115856987"
"hsa-miR-585" "0,115966157"
"hsa-miR-656" "0,116020742"
"HS_82.1" "0,116675764"
"hsa-miR-29b-1*" "0,116730349"
"hsa-miR-32*" "0,117221616"
"hsa-miR-181a" "0,117631004"
