"mirname"	"p.value"
"ebv-miR-BART9"	0.580934945504087
"hsv1-miR-H3"	0.585149863760218
"hsa-miR-101"	0.590386580381471
"ebv-miR-BHRF1-1"	0.590556880108992
"hsa-miR-937"	0.590642029972752
"hsa-miR-211"	0.591067779291553
"hsa-miR-509-5p"	0.591238079019074
"hsa-miR-1279"	0.593537125340599
"hsa-miR-504"	0.594303474114441
"hsa-miR-636"	0.596432220708447
"hsa-miR-711"	0.596645095367847
"hsa-miR-606"	0.599582765667575
"hsa-miR-1979"	0.600604564032698
"ebv-miR-BHRF1-2"	0.60137091280654
"hsa-miR-491-5p"	0.602477861035422
"hsa-miR-99b"	0.603329359673024
"hsa-miR-379"	0.604521457765668
"ebv-miR-BART2-3p"	0.606224455040872
"hsa-miR-127-5p"	0.607842302452316
"hsa-miR-622"	0.609630449591281
"ebv-miR-BART22"	0.609715599455041
"hsa-miR-450b-3p"	0.610907697547684
"hsa-miR-1259"	0.614228542234332
"hsa-miR-593"	0.614739441416894
"hsa-miR-302e"	0.615846389645777
"hsa-miR-339-5p"	0.6172939373297
"hsa-miR-373"	0.618826634877384
"hsa-miR-449a"	0.622913828337875
"ebv-miR-BART19-3p"	0.623595027247956
"hsa-miR-425"	0.623850476839237
"hsa-miR-1911"	0.624616825613079
"hsa-miR-218"	0.626575272479564
"hsa-miR-642"	0.628107970027248
"hsa-miR-518d-3p"	0.62878916893733
"hsa-miR-767-5p"	0.634409059945504
"ebv-miR-BART10"	0.63662295640327
"hsa-miR-449b"	0.637474455040872
"hsa-miR-380"	0.641221049046321
"hsa-miR-656"	0.642072547683924
"mcv-miR-M1-5p"	0.644201294277929
"hsa-miR-623"	0.644286444141689
"hsa-miR-548g"	0.645478542234332
"hsa-miR-548f"	0.646159741144414
"hsa-miR-886-3p"	0.652035081743869
"hsa-miR-297"	0.65246083106267
"hcmv-miR-UL70-5p"	0.656037125340599
"hsa-miR-302b"	0.656462874659401
"hsa-miR-320d"	0.657356948228883
"hsa-miR-188-3p"	0.658676771117166
"hsa-miR-589"	0.660805517711172
"hsa-miR-873"	0.661657016348774
"hsa-miR-1258"	0.663104564032698
"hsa-miR-520d-5p+hsa-miR-527+ hsa-miR-518a-5p"	0.66404121253406
"hsa-miR-1268"	0.664296662125341
"hsa-miR-147b"	0.664722411444142
"ebv-miR-BART21-3p"	0.670001702997275
"hsa-miR-1306"	0.670512602179837
"ebv-miR-BART3"	0.675195844686649
"hsa-miR-888"	0.677239441416894
"ebv-miR-BART17-3p"	0.678261239782016
"hsa-miR-23b"	0.681241485013624
"hcmv-miR-US4"	0.686605926430518
"hsa-miR-34a"	0.689841621253406
"hsa-miR-635"	0.692225817438692
"hsa-miR-505"	0.694269414168937
"hsv1-miR-H4-5p"	0.704998297002725
"hsa-miR-1292"	0.707808242506812
"hsa-miR-1262"	0.708574591280654
"hsa-miR-95"	0.709170640326976
"hsa-miR-494"	0.709851839237057
"hsa-miR-500+hsa-miR-501-5p"	0.710320163487738
"hsa-miR-921"	0.713939032697548
"ebv-miR-BART18-5p"	0.715642029972752
"hsa-miR-1227"	0.716919277929155
"hsa-miR-654-5p"	0.717515326975477
"hsa-miR-766"	0.717770776566757
"hsa-miR-602"	0.719133174386921
"hsa-miR-507"	0.719984673024523
"hsa-miR-640"	0.720495572207084
"hsa-miR-1301"	0.722454019073569
"hsa-miR-129-3p"	0.726881811989101
"hsa-miR-409-3p"	0.728414509536785
"hsa-miR-555"	0.731309604904632
"hsa-miR-935"	0.731735354223433
"hsa-miR-490-5p"	0.737270095367847
"hsa-miR-595"	0.737355245231608
"hsa-miR-539"	0.737780994550409
"hsa-miR-340"	0.742549386920981
"hsa-miR-1254"	0.744167234332425
"hsa-miR-208a"	0.744337534059946
"hsa-miR-133a"	0.747871253405995
"hsa-miR-100"	0.751830722070845
"hsv2-miR-H4-3p"	0.751915871934605
"hsa-miR-574-3p"	0.752171321525886
"hsa-miR-545"	0.752341621253406
"hsa-miR-525-3p"	0.752597070844687
"hsa-miR-449c"	0.753704019073569
"hsa-miR-511"	0.754214918256131
"kshv-miR-K12-7"	0.754555517711172
"hsa-miR-105"	0.755832765667575
"hsa-miR-1236"	0.756513964577657
"hsa-miR-668"	0.757280313351499
"hsa-miR-590-5p"	0.761197207084469
"hsa-miR-1205"	0.764603201634877
"hsa-miR-548d-3p"	0.766561648501362
"hsa-miR-1909"	0.766817098092643
"hsa-miR-1294"	0.770052792915531
"hsa-miR-2113"	0.770648841961853
"hsa-miR-1274b"	0.770904291553134
"hsa-miR-802"	0.77337363760218
"hsa-miR-520d-3p"	0.7735439373297
"hsa-miR-1228"	0.774054836512262
"hsa-miR-339-3p"	0.776439032697548
"bkv-miR-B1-5p"	0.779078678474114
"hsa-miR-302d"	0.782144073569482
"hsa-miR-761"	0.785379768392371
"hsa-miR-1913"	0.785975817438692
"hsa-miR-1256"	0.786316416893733
"hsa-miR-658"	0.787508514986376
"hsa-miR-198"	0.78921151226158
"hsa-miR-1275"	0.790148160762943
"hsa-miR-202"	0.791510558583106
"hsa-miR-1251"	0.791595708446866
"hsa-miR-296-3p"	0.793213555858311
"hsa-miR-1183"	0.793383855585831
"hsa-miR-2053"	0.795001702997275
"kshv-miR-K12-2"	0.797811648501362
"hsa-miR-298"	0.799429495912807
"hsa-miR-1291"	0.801387942779292
"ebv-miR-BART18-3p"	0.801558242506812
"hsa-miR-518c"	0.802239441416894
"hsa-miR-1182"	0.802665190735695
"ebv-miR-BART11-5p"	0.803261239782016
"hsa-miR-137"	0.804112738419619
"hsa-miR-548l"	0.806667234332425
"hsa-miR-1288"	0.809051430517711
"hcmv-miR-UL22A"	0.812031675749319
"hsa-miR-153"	0.812712874659401
"ebv-miR-BART13"	0.816970367847411
"hsa-miR-588"	0.819524863760218
"hsa-miR-510"	0.822505108991826
"hsa-miR-770-5p"	0.822760558583106
"hsa-miR-1266"	0.824463555858311
"hsa-miR-582-3p"	0.827018051771117
"hsa-miR-27b"	0.829529972752044
"hsa-miR-513a-3p"	0.830934945504087
"hsa-miR-549"	0.833063692098093
"hsa-miR-493"	0.833233991825613
"hsa-miR-369-5p"	0.833404291553134
"hsa-miR-564"	0.834000340599455
"hsa-miR-1285"	0.834596389645777
"hsa-miR-508-5p"	0.834851839237057
"hsa-miR-429"	0.836895435967302
"hsa-miR-487a"	0.84387772479564
"hsa-miR-1302"	0.844729223433243
"hsa-miR-323-3p"	0.846772820163488
"hcmv-miR-US25-2-3p"	0.848050068119891
"hsv1-miR-H4-3p"	0.848731267029973
"hsa-miR-579"	0.849582765667575
"hsa-miR-670"	0.85162636239782
"hsa-miR-643"	0.852733310626703
"hsa-miR-483-5p"	0.853925408719346
"hsa-miR-520a-5p"	0.85545810626703
"hsa-let-7d"	0.858097752043597
"hsa-miR-551b"	0.866272138964578
"hsa-miR-455-5p"	0.866527588555858
"kshv-miR-K12-12"	0.873084128065395
"hsa-miR-193a-5p"	0.873169277929155
"hsa-miR-1225-3p"	0.873424727520436
"hsa-miR-891a"	0.874191076294278
"hsa-miR-769-3p"	0.87495742506812
"hsa-miR-2116"	0.878193119891008
"hsa-miR-554"	0.879981267029973
"hsa-miR-498"	0.884068460490463
"hsa-miR-1197"	0.88670810626703
"hsa-miR-601"	0.889092302452316
"hsa-miR-29b"	0.890625
"hsa-miR-518e"	0.891731948228883
"hsa-miR-1289"	0.89445674386921
"hsa-miR-220a"	0.895819141689373
