"mirname" "pvalue"
"hsa-miR-141*" 0.491885978616499
"hsa-let-7f-2*" 0.497163814841264
"hsa-miR-328" 0.49755222597347
"hsa-miR-369-5p" 0.503064293399618
"hsa-miR-431" 0.505409584999053
"hsa-miR-1243" 0.507490773776293
"hsa-miR-103-2*" 0.511452651233997
"hsa-miR-1296" 0.515423194409718
"hsa-miR-296-3p" 0.515123198700188
"hsa-miR-3166" 0.520961487182282
"hsa-miR-744*" 0.522115436284532
"hsa-miR-3133" 0.530027946761558
"hsa-miR-342-5p" 0.529334676505369
"hsa-miR-205" 0.534202238823654
"hsa-miR-376a" 0.534772162638765
"hsa-miR-181c*" 0.5397885074477
"hsa-miR-335*" 0.538588087293388
"hsa-miR-624*" 0.538839283046917
"hsa-miR-3152" 0.540977205848898
"hsa-miR-452" 0.542547142202123
"hsa-miR-151-5p" 0.547646868884184
"hsa-miR-3200-5p" 0.552410042812379
"hsa-miR-585" 0.551639315276599
"hsa-miR-545*" 0.561350787290177
"hsa-miR-610" 0.561869314614808
"hsa-miR-584" 0.563158952592321
"hsa-miR-1271" 0.583395881535574
"hsa-miR-146a*" 0.581190545689285
"hsa-miR-193b*" 0.580026563144459
"hsa-miR-194*" 0.583567644075613
"hsa-miR-24-1*" 0.584821924972255
"hsa-miR-301a" 0.575718252275765
"hsa-miR-32*" 0.578588087785695
"hsa-miR-34a" 0.57465167290867
"hsa-miR-362-5p" 0.584057555979976
"hsa-miR-375" 0.582634620084072
"hsa-miR-1261" 0.587738297575768
"hsa-miR-147b" 0.593547853973742
"hsa-miR-3912" 0.592898177925499
"hsa-miR-520a-3p" 0.591462453899421
"hsa-miR-30a" 0.60091988214872
"hsa-miR-148b*" 0.603272927671242
"hsa-miR-200b*" 0.605689083132884
"hsa-miR-211" 0.608248335416077
"hsa-miR-518c" 0.611613786699471
"hsa-miR-296-5p" 0.612865057026134
"hsa-miR-125a-5p" 0.615653949714213
"hsa-miR-125b" 0.617217154441702
"hsa-miR-494" 0.617254502034707
"hsa-miR-20a*" 0.625450947211301
"hsa-miR-34b" 0.626309683744578
"hsa-miR-99b" 0.627296016589202
"hsa-miR-301b" 0.633608989114814
"hsa-miR-7" 0.632272108106969
"hsa-miR-9*" 0.63420345236305
"hsa-let-7f" 0.63990989812172
"hsa-let-7f-1*" 0.638794429654769
"hsa-miR-105" 0.642832831962158
"hsa-miR-105*" 0.649573575865515
"hsa-miR-155" 0.63883327630105
"hsa-miR-15b" 0.647144392431803
"hsa-miR-21*" 0.650557643633085
"hsa-miR-326" 0.645624235208939
"hsa-miR-597" 0.64895158516366
"hsa-miR-654-3p" 0.647290400693503
"hsa-miR-767-5p" 0.637123267850224
"hsa-miR-887" 0.650564166369564
"hsa-miR-96*" 0.649156828744394
"hsa-miR-361-3p" 0.653400659404107
"hsa-miR-499-5p" 0.652844196021648
"hsa-miR-181a*" 0.654977867870169
"hsa-miR-29b" 0.657577975497863
"hsa-miR-766" 0.656589873714921
"hsa-miR-548z" 0.659605844306798
"hsa-miR-29a" 0.662593765252374
"hsa-miR-130b" 0.665102771094882
"hsa-miR-135a" 0.670339513555138
"hsa-miR-16-2*" 0.665776002253532
"hsa-miR-200c*" 0.670531765958154
"hsa-miR-29b-1*" 0.674094767100675
"hsa-miR-323b-3p" 0.674302768403343
"hsa-miR-3660" 0.670520479916544
"hsa-miR-3688" 0.676153779377101
"hsa-miR-509-3p" 0.666827564901266
"hsa-miR-577" 0.676219606521088
"hsa-miR-590-3p" 0.675398097359653
"hsa-miR-106b" 0.692936085798453
"hsa-miR-124*" 0.690114595207906
"hsa-miR-1255b" 0.689497262197326
"hsa-miR-125a-3p" 0.685701538144191
"hsa-miR-137" 0.682427271476506
"hsa-miR-17*" 0.683686351929292
"hsa-miR-196b*" 0.682841253637942
"hsa-miR-224" 0.679730377279373
"hsa-miR-3175" 0.689496202308342
"hsa-miR-345" 0.694983199618205
"hsa-miR-378" 0.694090003344104
"hsa-miR-519c-3p" 0.691967438151482
"hsa-miR-549" 0.69216706507346
"hsa-miR-574-3p" 0.686104791528626
"hsa-miR-374a*" 0.698791998168573
"hsa-miR-3613-3p" 0.705860484296603
"hsa-miR-3118" 0.707990179474999
"hsa-miR-548d-3p" 0.708775114081908
"hsa-miR-186" 0.710043119387308
"hsa-miR-3116" 0.711607929991776
"hsa-miR-502-3p" 0.715054140637255
"hsa-miR-3167" 0.721617170397942
"hsa-miR-655" 0.721154868289194
"hsa-let-7e" 0.72542003763956
"hsa-miR-548b-3p" 0.72623926367197
"hsa-miR-654-5p" 0.726722591182689
"hsa-miR-26a-2*" 0.730485649723003
"hsa-miR-2114" 0.73324037304651
"hsa-miR-548p" 0.734121049293415
"hsa-miR-1266" 0.736274102036142
"hsa-miR-3681" 0.742593832328769
"hsa-miR-3200-3p" 0.747390345145983
"hsa-miR-491-3p" 0.746184176092873
"hsa-miR-629" 0.745599912171446
"hsa-miR-320c" 0.750081896717847
"hsa-miR-329" 0.751337668346225
"hsa-miR-519a" 0.749968696916898
"hsa-miR-200a" 0.755155899100528
"hsa-miR-592" 0.753975726551347
"hsa-miR-548b-5p" 0.759145604657677
"hsa-miR-100*" 0.761031866487408
"hsa-miR-1197" 0.763371789893245
"hsa-miR-30a*" 0.766808293949206
"hsa-miR-30e*" 0.766750474831487
"hsa-miR-769-3p" 0.766254486239893
"hsa-miR-889" 0.764377309313838
"hsa-miR-193b" 0.769660195517575
"hsa-miR-151-3p" 0.784084471306967
"hsa-miR-181b" 0.783788786501057
"hsa-miR-200c" 0.775923456090712
"hsa-miR-485-5p" 0.777973473732177
"hsa-miR-541*" 0.778505277961755
"hsa-miR-548a-3p" 0.780215294164039
"hsa-miR-582-3p" 0.781990887216797
"hsa-miR-660" 0.779250819957915
"hsa-miR-9" 0.781543255357918
"hsa-let-7e*" 0.791515754785959
"hsa-miR-1305" 0.791814583665666
"hsa-miR-1249" 0.814848367517431
"hsa-miR-1275" 0.807693783319817
"hsa-miR-148b" 0.810406866549386
"hsa-miR-183" 0.804577362115619
"hsa-miR-18b" 0.816246891373916
"hsa-miR-196b" 0.809805679202372
"hsa-miR-221" 0.810164031783684
"hsa-miR-377*" 0.801077717374724
"hsa-miR-493" 0.805167876821948
"hsa-miR-539" 0.799202262046882
"hsa-miR-542-5p" 0.796621969756693
"hsa-miR-548q" 0.810979616196226
"hsa-miR-551b*" 0.815482532913332
"hsa-miR-556-5p" 0.814299923831333
"hsa-miR-628-5p" 0.811139140488847
"hsa-miR-767-3p" 0.815211183440395
"hsa-miR-770-5p" 0.80374115358379
"hsa-miR-98" 0.816465270653357
"hsa-miR-99b*" 0.799328443779446
"hsa-miR-125b-1*" 0.824145236345129
"hsa-miR-1323" 0.821935576857464
"hsa-miR-15b*" 0.81870199219986
"hsa-miR-27a*" 0.825528107642124
"hsa-miR-29a*" 0.825413203276532
"hsa-miR-543" 0.819315669784099
"hsa-miR-874" 0.823201558367787
"hsa-miR-758" 0.831916675524019
"hsa-miR-129-5p" 0.837526138061109
"hsa-miR-561" 0.840542853626393
"hsa-miR-653" 0.841925659988137
"hsa-miR-548t" 0.846464268758705
"hsa-miR-320a" 0.852864170108702
"hsa-miR-337-3p" 0.853259711378435
"hsa-miR-454" 0.856289935451902
"hsa-miR-455-3p" 0.852668571136924
"hsa-miR-545" 0.852200827975092
"hsa-miR-548i" 0.856527720969478
"hsa-miR-556-3p" 0.855243555634822
"hsa-miR-100" 0.85875918375167
"hsa-miR-106a" 0.875285263903528
"hsa-miR-1185" 0.874590723841848
"hsa-miR-1252" 0.871855977406215
"hsa-miR-196a*" 0.870135022415998
"hsa-miR-23b*" 0.866047542623135
"hsa-miR-3134" 0.881224306961782
"hsa-miR-3139" 0.877306645410869
"hsa-miR-320b" 0.881362912733618
"hsa-miR-3611" 0.877153184400907
"hsa-miR-3617" 0.862361453021673
